2,0,2.0
3,0,2.0
8,0,4.0
10,0,1.0
14,0,1.0
16,0,3.0
17,0,1.0
20,0,1.0
22,0,2.0
24,0,1.0
25,0,1.0
35,0,2.0
39,0,4.0
40,0,2.0
43,0,3.0
49,0,1.0
50,0,3.0
57,0,5.0
58,0,4.0
59,0,5.0
61,0,1.0
66,0,5.0
67,0,2.0
68,0,5.0
69,0,1.0
73,0,2.0
75,0,3.0
81,0,1.0
89,0,1.0
91,0,4.0
92,0,1.0
93,0,2.0
94,0,3.0
95,0,5.0
96,0,5.0
98,0,3.0
0,1,2.0
3,1,2.0
4,1,2.0
5,1,3.0
6,1,3.0
8,1,3.0
10,1,2.0
17,1,3.0
21,1,4.0
22,1,2.0
24,1,1.0
25,1,3.0
26,1,4.0
29,1,4.0
33,1,3.0
38,1,1.0
44,1,3.0
50,1,2.0
55,1,1.0
59,1,4.0
60,1,1.0
61,1,1.0
62,1,1.0
64,1,4.0
65,1,3.0
67,1,2.0
71,1,3.0
73,1,5.0
74,1,3.0
76,1,2.0
80,1,4.0
83,1,5.0
84,1,1.0
85,1,1.0
90,1,3.0
91,1,3.0
93,1,2.0
96,1,4.0
1,2,4.0
2,2,4.0
6,2,3.0
8,2,4.0
12,2,3.0
13,2,4.0
18,2,1.0
21,2,5.0
22,2,4.0
33,2,4.0
34,2,1.0
35,2,5.0
39,2,4.0
49,2,1.0
52,2,4.0
54,2,5.0
59,2,4.0
60,2,1.0
63,2,2.0
68,2,2.0
69,2,1.0
70,2,4.0
77,2,1.0
81,2,1.0
82,2,5.0
86,2,3.0
88,2,1.0
90,2,1.0
95,2,2.0
99,2,4.0
8,3,3.0
9,3,1.0
12,3,3.0
13,3,3.0
15,3,4.0
16,3,4.0
17,3,3.0
18,3,3.0
19,3,1.0
21,3,4.0
22,3,3.0
24,3,1.0
25,3,1.0
26,3,4.0
29,3,1.0
30,3,1.0
35,3,5.0
36,3,3.0
41,3,1.0
43,3,1.0
46,3,1.0
49,3,1.0
50,3,3.0
51,3,4.0
52,3,2.0
56,3,4.0
58,3,4.0
62,3,4.0
67,3,4.0
73,3,5.0
75,3,3.0
76,3,5.0
77,3,1.0
81,3,1.0
90,3,1.0
94,3,3.0
95,3,5.0
96,3,4.0
98,3,2.0
1,4,5.0
2,4,3.0
3,4,2.0
7,4,1.0
12,4,4.0
14,4,2.0
22,4,4.0
25,4,1.0
32,4,1.0
33,4,1.0
36,4,1.0
38,4,3.0
39,4,1.0
40,4,2.0
42,4,4.0
45,4,3.0
46,4,1.0
48,4,1.0
49,4,1.0
50,4,3.0
53,4,1.0
58,4,5.0
59,4,4.0
66,4,4.0
69,4,1.0
70,4,3.0
72,4,1.0
73,4,2.0
75,4,4.0
77,4,2.0
84,4,3.0
88,4,1.0
90,4,1.0
92,4,1.0
94,4,3.0
96,4,5.0
2,5,4.0
8,5,4.0
9,5,1.0
15,5,4.0
17,5,1.0
24,5,1.0
25,5,1.0
27,5,1.0
29,5,1.0
33,5,4.0
35,5,2.0
38,5,1.0
46,5,1.0
47,5,1.0
61,5,1.0
68,5,2.0
72,5,1.0
73,5,2.0
74,5,4.0
75,5,3.0
76,5,2.0
77,5,1.0
82,5,2.0
83,5,5.0
86,5,4.0
90,5,1.0
95,5,2.0
98,5,2.0
2,6,2.0
5,6,3.0
6,6,1.0
8,6,3.0
14,6,1.0
15,6,4.0
18,6,1.0
23,6,1.0
26,6,4.0
27,6,2.0
34,6,1.0
36,6,1.0
39,6,2.0
40,6,2.0
46,6,1.0
48,6,1.0
51,6,3.0
55,6,1.0
56,6,3.0
61,6,1.0
66,6,4.0
69,6,1.0
79,6,1.0
80,6,1.0
87,6,4.0
89,6,1.0
93,6,2.0
94,6,3.0
98,6,2.0
1,7,5.0
7,7,1.0
8,7,5.0
13,7,4.0
14,7,1.0
15,7,5.0
16,7,5.0
